model,source_dataset,target_dataset,accuracy,auc,n_test,timestamp
phasedfd_t,dffd,cocofake,22.4179,60.2716,243158,2026-05-14T02:43:29.189082Z
phasedfd_t,cifake,cocofake,83.3536,61.9760,243158,2026-05-14T03:55:35.267409Z
phasedfd_s,dffd,cocofake,23.2931,58.9262,243158,2026-05-14T05:10:19.456391Z
phasedfd_s,cifake,cocofake,83.3475,53.1840,243158,2026-05-14T06:28:16.300639Z
phasedfd_m,dffd,cocofake,23.1969,57.4560,243158,2026-05-14T07:57:36.551111Z
phasedfd_m,cifake,cocofake,83.3450,52.5285,243158,2026-05-14T09:18:48.437195Z
dualdfd_t,dffd,cocofake,23.8421,55.5987,243158,2026-05-14T10:33:58.378304Z
dualdfd_t,cifake,cocofake,83.3470,57.8968,243158,2026-05-14T11:48:45.809705Z
dualdfd_s,dffd,cocofake,18.2577,54.2511,243158,2026-05-14T13:03:16.761258Z
dualdfd_s,cifake,cocofake,83.3405,55.5675,243158,2026-05-14T14:16:27.725135Z
dualdfd_m,dffd,cocofake,19.4474,57.9437,243158,2026-05-14T15:30:43.059861Z
dualdfd_m,cifake,cocofake,83.3405,54.7907,243158,2026-05-14T16:40:38.013624Z
fulldfd_t,dffd,cocofake,21.5728,58.4674,243158,2026-05-14T17:44:19.829014Z
fulldfd_t,cifake,cocofake,83.3528,57.5358,243158,2026-05-14T18:31:05.588232Z
fulldfd_s,dffd,cocofake,26.4848,63.8188,243158,2026-05-14T19:23:07.190160Z
fulldfd_s,cifake,cocofake,83.3421,53.2796,243158,2026-05-14T20:17:04.254112Z
fulldfd_m,dffd,cocofake,25.0117,59.6833,243158,2026-05-14T21:26:39.425460Z
fulldfd_m,cifake,cocofake,83.3466,51.9693,243158,2026-05-14T22:38:00.173354Z
